"","month","total_monthly_VOC_cases","total_VOC_seqs","seq.take","VOC","seqpercase","sum.take","sum.avail","sum.cases","prop.cases","prop.take","prop.avail"
"74","2020-10",9643.59735526081,85,85,"Epsilon",0.0088141382171696,25000,63369,3217458.69686783,0.00299727153130163,0.0034,0.00134134987138822
"75","2020-11",69514.2008937001,494,494,"Epsilon",0.00710646160998695,25000,63369,3217458.69686783,0.0216053125907635,0.01976,0.00779560984077388
"76","2020-12",639051.312977465,4107,4107,"Epsilon",0.0064267139689686,25000,63369,3217458.69686783,0.198619896379579,0.16428,0.0648108696681343
"77","2021-01",1188892.07556637,14028,9665,"Epsilon",0.00812941746238467,25000,63369,3217458.69686783,0.369512770039207,0.3866,0.221370070539223
"78","2021-02",718309.30007257,16461,5840,"Epsilon",0.00813020240641461,25000,63369,3217458.69686783,0.223253619625898,0.2336,0.25976423803437
"79","2021-03",363251.135949149,17659,2953,"Epsilon",0.00812936205219021,25000,63369,3217458.69686783,0.112900015252028,0.11812,0.278669380927583
"80","2021-04",164863.637262048,8385,1341,"Epsilon",0.00813399499289527,25000,63369,3217458.69686783,0.0512403274741463,0.05364,0.132320219665767
"81","2021-05",48244.6244677461,1736,393,"Epsilon",0.00814598526438401,25000,63369,3217458.69686783,0.0149946367655665,0.01572,0.0273950985497641
"82","2021-06",8517.73899057534,193,70,"Epsilon",0.00821814334501834,25000,63369,3217458.69686783,0.00264734990968719,0.0028,0.00304565323738737
"83","2021-07",1513.1745645845,42,13,"Epsilon",0.00859120970194846,25000,63369,3217458.69686783,0.000470301162236383,0.00052,0.000662784642333002
"84","2021-08",712.093146506497,75,6,"Epsilon",0.00842586398905225,25000,63369,3217458.69686783,0.000221321612364352,0.00024,0.00118354400416607
"85","2021-09",850.309567119602,78,7,"Epsilon",0.0082322959433613,25000,63369,3217458.69686783,0.000264279870304899,0.00028,0.00123088576433272
"86","2021-10",478.485874625872,2,2,"Epsilon",0.00417985170735458,25000,63369,3217458.69686783,0.000148715467611651,8e-05,3.15611734444287e-05
"87","2021-12",169.574092882903,1,1,"Epsilon",0.00589712722621218,25000,63369,3217458.69686783,5.2704357338909e-05,4e-05,1.57805867222143e-05
"88","2020-12",5287.34324030931,28,28,"Eta",0.00529566527600013,6684,6684,434073.786008613,0.012180747630322,0.00418910831837223,0.00418910831837223
"89","2021-01",32841.2013560002,344,344,"Eta",0.0104746472661284,6684,6684,434073.786008613,0.075658107940544,0.0514661879114303,0.0514661879114303
"90","2021-02",60512.5508717216,926,926,"Eta",0.0153026105602951,6684,6684,434073.786008613,0.139406139744456,0.138539796529025,0.138539796529025
"91","2021-03",115580.482803434,2317,2317,"Eta",0.0200466371466927,6684,6684,434073.786008613,0.266269207053984,0.346648713345302,0.346648713345302
"92","2021-04",134685.282079809,1794,1794,"Eta",0.0133199409192828,6684,6684,434073.786008613,0.310281999100348,0.268402154398564,0.268402154398564
"93","2021-05",63457.8286110682,901,901,"Eta",0.0141984057715276,6684,6684,434073.786008613,0.14619134040453,0.134799521244764,0.134799521244764
"94","2021-06",16291.8275838231,299,299,"Eta",0.0183527599013441,6684,6684,434073.786008613,0.0375323922083142,0.0447336923997606,0.0447336923997606
"95","2021-07",5417.26946244723,75,75,"Eta",0.0138446131431902,6684,6684,434073.786008613,0.0124800659175022,0.0112208258527828,0.0112208258527828
"96","2021-01",371929.895011066,552,552,"Gamma",0.00148415066227354,25000,98821,15644092.2126703,0.0237744632257944,0.02208,0.00558585725706075
"97","2021-02",756359.367301617,2249,1211,"Gamma",0.00160109076763385,25000,98821,15644092.2126703,0.0483479231021815,0.04844,0.0227583205998725
"98","2021-03",2064489.59010197,7651,3305,"Gamma",0.0016008799539826,25000,98821,15644092.2126703,0.131966084195664,0.1322,0.077422814988717
"99","2021-04",2719775.22211949,19775,4353,"Gamma",0.00160049991065356,25000,98821,15644092.2126703,0.173853182731608,0.17412,0.200109288511551
"100","2021-05",3295622.10990873,20741,5275,"Gamma",0.00160060826881213,25000,98821,15644092.2126703,0.210662406300545,0.211,0.209884538711407
"101","2021-06",3568373.53940273,20612,5711,"Gamma",0.0016004490384591,25000,98821,15644092.2126703,0.22809719419275,0.22844,0.208579148156768
"102","2021-07",2064916.10323656,16665,3305,"Gamma",0.00160054928857387,25000,98821,15644092.2126703,0.13199334772293,0.1322,0.168638244907459
"103","2021-08",656851.179702689,7579,1052,"Gamma",0.00160158043786443,25000,98821,15644092.2126703,0.041987171308713,0.04208,0.076694224911709
"104","2021-09",116255.839456908,2231,187,"Gamma",0.00160852135147426,25000,98821,15644092.2126703,0.00743129341584625,0.00748,0.0225761730806205
"105","2021-10",20285.5156262823,540,33,"Gamma",0.00162677649451733,25000,98821,15644092.2126703,0.00129668857422439,0.00132,0.00546442557755943
"106","2021-11",6642.45681596258,149,11,"Gamma",0.00165601377694556,25000,98821,15644092.2126703,0.000424598418729775,0.00044,0.0015077766871414
"107","2021-12",2591.39398624951,77,5,"Gamma",0.00192946345732493,25000,98821,15644092.2126703,0.00016564681101475,2e-04,0.000779186610133474
"108","2020-01",0.277777777777778,1,1,"Iota",3.6,22469,38216,913549.667978729,3.04064231551169e-07,4.45057634963728e-05,2.61670504500733e-05
"109","2020-04",21.8169006330856,1,1,"Iota",0.0458360248697969,22469,38216,913549.667978729,2.38814608529786e-05,4.45057634963728e-05,2.61670504500733e-05
"110","2020-11",354.959538253852,5,5,"Iota",0.014086112531576,22469,38216,913549.667978729,0.000388549797231295,0.000222528817481864,0.000130835252250366
"111","2020-12",9466.19983178004,73,73,"Iota",0.00771164789432434,22469,38216,913549.667978729,0.010361997999216,0.00324892073523521,0.00191019468285535
"112","2021-01",43832.2841970073,559,559,"Iota",0.0127531569536175,22469,38216,913549.667978729,0.0479801873213837,0.0248787217944724,0.014627381201591
"113","2021-02",80057.0531946253,2356,2,"Iota",2.49821835827236e-05,22469,38216,913549.667978729,0.0876329508955493,8.90115269927456e-05,0.0616495708603726
"114","2021-03",175580.748193473,10196,5533,"Iota",0.031512566479687,22469,38216,913549.667978729,0.19219617098866,0.246250389425431,0.266799246388947
"115","2021-04",265880.259622872,15568,8378,"Iota",0.0315104250758724,22469,38216,913549.667978729,0.291040836576674,0.372869286572611,0.407368641406741
"116","2021-05",178010.721354144,7147,5609,"Iota",0.0315093380743127,22469,38216,913549.667978729,0.194856095507101,0.249632827451155,0.187015909566674
"117","2021-06",108280.615809114,1758,1758,"Iota",0.0162355929255071,22469,38216,913549.667978729,0.118527344056388,0.0782411322266233,0.0460016746912288
"118","2021-07",49020.9127597252,463,463,"Iota",0.00944494857265068,22469,38216,913549.667978729,0.0536598222056019,0.0206061684988206,0.0121153443583839
"119","2021-08",2546.18007877113,71,71,"Iota",0.0278849090808483,22469,38216,913549.667978729,0.00278712824055278,0.00315990920824247,0.0018578605819552
"120","2021-09",370.124626891383,14,12,"Iota",0.032421511912855,22469,38216,913549.667978729,0.000405149976914009,0.000534069161956473,0.000366338706301026
