"","month","total_monthly_VOC_cases","total_VOC_seqs","seq.take","VOC","seqpercase","sum.take","sum.avail","sum.cases","prop.cases","prop.take","prop.avail"
"80","2021-02",1912.19397798164,111,111,"Gamma",0.0580485041152377,13488,13488,94582.1894173306,0.0202172733551806,0.00822953736654804,0.00822953736654804
"81","2021-03",11855.3518928453,1910,1910,"Gamma",0.161108672038043,13488,13488,94582.1894173306,0.125344443450502,0.141607354685647,0.141607354685647
"82","2021-04",54385.0275050271,5788,5788,"Gamma",0.10642635051467,13488,13488,94582.1894173306,0.575002839753062,0.429122182680902,0.429122182680902
"83","2021-05",21160.4362456157,3776,3776,"Gamma",0.1784462265414,13488,13488,94582.1894173306,0.223725379756735,0.279952550415184,0.279952550415184
"84","2021-06",3741.28848837351,1379,1379,"Gamma",0.368589592672525,13488,13488,94582.1894173306,0.0395559514050325,0.102239027283511,0.102239027283511
"85","2021-07",709.036137792787,391,391,"Gamma",0.551452851496644,13488,13488,94582.1894173306,0.00749650798063328,0.0289887307236062,0.0289887307236062
"86","2021-08",216.47808355555,110,110,"Gamma",0.508134579691866,13488,13488,94582.1894173306,0.00228878274957636,0.00815539739027283,0.00815539739027283
"87","2021-09",69.3422710161288,14,14,"Gamma",0.201897050599102,13488,13488,94582.1894173306,0.000733143009728458,0.00103795966785291,0.00103795966785291
"88","2021-10",23.5915984991506,3,3,"Gamma",0.127163913886887,13488,13488,94582.1894173306,0.000249429608729567,0.000222419928825623,0.000222419928825623
"89","2021-11",112.895757129381,5,5,"Gamma",0.0442886440299957,13488,13488,94582.1894173306,0.00119362596515127,0.000370699881376038,0.000370699881376038
"90","2021-02",6.30472047883708,2,2,"Iota",0.317222628142414,520,520,3236.24446114872,0.00194815952704611,0.00384615384615385,0.00384615384615385
"91","2021-03",656.517678397655,205,205,"Iota",0.312253586986931,520,520,3236.24446114872,0.202864056247661,0.394230769230769,0.394230769230769
"92","2021-04",1788.84136175203,244,244,"Iota",0.136401139428608,520,520,3236.24446114872,0.552752235879324,0.469230769230769,0.469230769230769
"93","2021-05",341.688279544129,29,29,"Iota",0.0848726799721986,520,520,3236.24446114872,0.105581727105636,0.0557692307692308,0.0557692307692308
"94","2021-06",6.6603323640358,1,1,"Iota",0.150142657354423,520,520,3236.24446114872,0.00205804365028459,0.00192307692307692,0.00192307692307692
"95","2021-01",29.9702331542949,1,1,"Iota",0.0333664404561596,520,520,3236.24446114872,0.00926080631858598,0.00192307692307692,0.00192307692307692
"96","2021-03",406.261855457734,38,38,"Iota",0.0935357319165136,520,520,3236.24446114872,0.125534971271463,0.0730769230769231,0.0730769230769231
"97","2021-04",1571.12279204215,99,99,"Kappa",0.0630122613594826,263,263,7705.80919933482,0.203888099406584,0.376425855513308,0.376425855513308
"98","2021-05",5206.1575628299,93,93,"Kappa",0.0178634624245695,263,263,7705.80919933482,0.675614647100178,0.35361216730038,0.35361216730038
"99","2021-06",852.477329755018,55,55,"Kappa",0.0645178447335435,263,263,7705.80919933482,0.110627879266542,0.209125475285171,0.209125475285171
"100","2021-07",69.2866207009458,15,15,"Kappa",0.216492013151325,263,263,7705.80919933482,0.00899147888412897,0.0570342205323194,0.0570342205323194
"101","2021-08",6.76489400680622,1,1,"Kappa",0.147821976071449,263,263,7705.80919933482,0.000877895342567031,0.00380228136882129,0.00380228136882129
"102","2021-06",12.4794776224461,5,5,"Mu",0.400657796044828,126,126,386.943982533498,0.0322513805247397,0.0396825396825397,0.0396825396825397
"103","2021-07",48.7046823985326,24,24,"Mu",0.492765763332913,126,126,386.943982533498,0.125870111946543,0.19047619047619,0.19047619047619
"104","2021-08",200.233119937732,86,86,"Mu",0.429499375661449,126,126,386.943982533498,0.517473145923383,0.682539682539683,0.682539682539683
"105","2021-09",123.433635516659,10,10,"Mu",0.0810151945873001,126,126,386.943982533498,0.318996136620301,0.0793650793650794,0.0793650793650794
"106","2021-11",2.09306705812844,1,1,"Mu",0.477767779162399,126,126,386.943982533498,0.00540922498503318,0.00793650793650794,0.00793650793650794
"107","2021-11",113.2385000374,51,51,"Omicron",0.450376859311594,25001,43981,1423223.91272199,7.95647817783118e-05,0.00203991840326387,0.00115959164184534
"108","2021-12",220609.567275549,14038,3889,"Omicron",0.0176284285764565,25001,43981,1423223.91272199,0.155006928497725,0.155553777848886,0.319183283690685
"109","2022-01",898418.390432908,20923,15836,"Omicron",0.0176265314341677,25001,43981,1423223.91272199,0.631255828687305,0.633414663413463,0.475728155339806
"110","2022-02",252329.945188406,8192,4448,"Omicron",0.0176277135742998,25001,43981,1423223.91272199,0.177294621691545,0.177912883484661,0.186262249607785
"111","2022-03",51752.7713250879,777,777,"Omicron",0.0150136887379273,25001,43981,1423223.91272199,0.0363630563416463,0.031078756849726,0.017666719719879
"112","2020-11",579.101129140575,11,11,"Zeta",0.018994955192584,244,244,3525.88900996103,0.164242586055474,0.0450819672131148,0.0450819672131148
"113","2020-12",902.618737582374,18,18,"Zeta",0.0199419746682993,244,244,3525.88900996103,0.255997490287521,0.0737704918032787,0.0737704918032787
"114","2021-01",792.25984937239,52,52,"Zeta",0.0656350312857495,244,244,3525.88900996103,0.224697898071711,0.213114754098361,0.213114754098361
"115","2021-02",410.897610498825,53,53,"Zeta",0.128985904628792,244,244,3525.88900996103,0.116537307140977,0.217213114754098,0.217213114754098
"116","2021-03",390.601015921802,79,79,"Zeta",0.2022524181448,244,244,3525.88900996103,0.110780859754323,0.323770491803279,0.323770491803279
"117","2021-04",317.804600376463,23,23,"Zeta",0.0723715137312512,244,244,3525.88900996103,0.0901346013668127,0.0942622950819672,0.0942622950819672
"118","2021-05",123.102067627838,6,6,"Zeta",0.0487400424348614,244,244,3525.88900996103,0.0349137670754981,0.0245901639344262,0.0245901639344262
"119","2021-06",9.50399944075839,2,2,"Zeta",0.210437722820447,244,244,3525.88900996103,0.0026954902476818,0.00819672131147541,0.00819672131147541
